"-- All countries --","Pays"
"-- All groups --","Groupes"
"-- All stores --","Magasins"
"-- Newsletter --","Newsletter"
"Please enter a valid sender name : 11 chars max (letters + digits","Please enter a valid sender name : 11 chars max (letters + digits"
"Please enter your account information to login to www.octopush.com","Please enter your account information to login to www.octopush.com"
"POST request missing.","Paramètre POST manquant"
"Price","Prix"
"Recipients","Destinataires"
"recipients left","Destinataires restants"
"Registered","Enregistré"
"Replaced by","Remplacé par"
"Reset all messages","Réinitialisez tous les messages"
"Reset Filter","""Réinitialiser les filtres"""
"Save Config","Sauvegarder la configuration"
"Save Messages","Sauvegarder les messages"
"Save this campaign","Sauvegarder la campagne"
"Search","Recherche"
"Search will be applied on phone, id_customer, firstname, lastname","La recherche sera appliqué au téléphone, id_client, prénom, nom"
"See example","Voir les exemples"
"Send an alert when your account is under","Envoyez une alerte lorsque votre crédit est inférieur  "
"Send date","Date d'envoi"
"Send Message","Envoyez un message"
"Send SMS","Envoi SMS"
"Send SMS when customer has lost his password","Envoyez un SMS lorsque le client a perdu son mot de passe"
"Send SMS when product is available","Envoyez un SMS lorsque le produit est  disponible"
"Sender name","Nom de l'expéditeur"
"Sending date","Date d'envoi"
"Sent","Envoyé"
"Sent only if customer pay the option","Envoyer seulement si le client paie l'option"
"Settings","Paramètres"
"Settings have been save.","Les paramètres ont été enregistrés"
"Simulation","Simulation"
"SMS Details","Details du SMS"
"SMS for Admin","SMS à l'Admin"
"SMS for Customer","SMS à un client"
"SMS notification product ID","ID de l'article Notification SMS créé"
"SMS Settings","Paramètres SMS"
"Standard message is divided in 160 chars long parts and each part cost 1 SMS, if all chars are in list below. If one or more chars are not in this list, then message is divided in 70 chars parts, and each part cost 1 SMS. You can see if your message will be divided in 70 chars long parts in the """"Manage message"""" tab and which char is not supported in standard.","Le message standard est divisé en SMS de 160 caractères et chaque SMS coûte 1 SMS, si vos caractères sont listés ci-dessous. Si A ou plusieurs caractères n'est pas dans la liste alors le message est divisé en 70 caractères et chaque message coûte  1 SMS. Vous pouvez le voir dans l'onglet ""Gérez vos messages"" et observé les caractère non supporté."
"Status","Statut"
"Status / Error","Statut / erreur"
"Status update","Statut mis à jour"
"?","?"
"successfully deleted","effacé avec succès"
"Thank you for your message. We will answer it very shortly. {shopname}","Merci pour votre message. Nous y répondrons rapidement. {shopname}"
"That file is not a valid CSV file.","Ce fichier n'est pas un fichier CSV valide"
"That number must be greater or equal to 1","Ce chiffre doit être supérieur ou égal à 1"
"That phone number is already in the list.","Ce numéro est déjà dans votre liste"
"That phone number is invalid.","Ce numéro est invalide"
"The email account you wish to credit is incorrect.","Le compte email que vous souhaitez créditer est incorrect"
"The email you entered is not a valid email.","L'email tapé n'est pas valide"
"The field request_sha1 does not match. The data is wrong, or the query string contains an error or the frame contains an error : the request is rejected.","Le champ request_sha1 ne correspond pas. La donnée est erronée ou la requête ou le corps contiennent une erreur : la reequête est rejetée."
"The field request_sha1 is missing.","Le champ request_sha1 est manquant."
"The file has not been uploaded","Le fichier n'a pas été uploadé"
"The list is already full.","Cette liste est déjà pleine"
"The mailing option only works by using a contact list.","L'option de mailing ne fonctionne uniquement avec une liste de contact"
"The number of text messages you want to transfer is too low.","Le nombre de messages que vous souhaitez transféré est trop faible."
"The phone number and the country does not match.","Le numéro de téléphone et le code pays diffèrent"
"The phone number is wrong","Le numéro de téléphone est erroné"
"The product with entity_id %s does not exist","Le produit entity_id et %s n'existe pas"
"The recipient country is not part of the countries serviced.","Le pays du destinataire n'est pas desservi"
"The number of recipient is different from the number of parameter associated.","Le nombre de destinataire est différent du nombre de paramètre associé"
"The requested action is unknown.","La requête demandée n'est pas possible"
"The route is congested. This type of SMS cannot be dispatched immediately. If your order is urgent, please use another type of SMS.","La route est congestionnée. Ce type de SMS ne peut pas être délivré instantanément. Si votre envoi est urgent, merci de choisir un autre type de SMS."
"The specified list does not exist.","La liste spécifiée n'existe pas"
"The text of your message is missing.","Le texte de votre message est manquant"
"Then, please fill your identification settings, and set your options.","Ensuite, compléter vos information d'identification et paramétrez vos options"
"There are too many contacts in the query.","Il y a trop de contacts dans la requête"
"These chars count as 2 chars :","Ces caractères comptent comme 2 caractères:"
"This account is not a valid account on www.octopush.com","Ce compte n'est pas valide sur www.octopush.com"
"This email is not specified in any of your sub accounts or affiliate users.","Cet email n'est spécifié dans aucun de vos sous comptes ou utilisateurs affiliés"
"This item is almost out of order, id: {product_id}, rÃ©f: {product_ref}, name: {product_name}, quantity: {quantity}","Ce produit n'est pratiquement plus disponible, id: {product_id}, réf: {product_ref}, nom: {product_name}, quantité: {quantity}"
"This message will be divided in 160 chars parts","Ce message sera divisé en 160 caractères"
"This module allows you to send SMS to the admin, or to customers on different events.","Ce module permet d'envoyer des SMS à l'admin, ou clients en fonction de différents évenements."
"This option is only available on request. Do not hesitate to request access if you need it.","Cette option n'est disponible uniquement sur demande. Merci de nous contacter"
"Ticket","Ticket"
"Title","Titre  "
"Title of the campaign","Titre de la campagne"
"To","à"
"TODOPlease enter a valid phone number. For example +33612345678.","? ne pas prendre en compte, je supprimerai cette ligne"
"Too many attempts have been made. You need to start a new campaign.","Trop de tentatives effectuées. Vous devez démarrer une nouvelle campagne"
"Transfer in progess","Transfert en cours"
"Transmit to Octopush","Transmettre à Octopush"
"Transmited to Octopush","Transmis à Octopush"
"Transmition date","Date de transmission"
"Update","Mise à jour"
"Validate Order","Commande validée"
"Validation date","Date de validation"
"Variables you can use : ","Variables que vous pouvez utiliser:"
"Variables you can use : {firstname} {lastname}"," Variables utilisables : {firstname} {lastname}"
"Waiting for validation","En attente de validation"
"Write your message here...","Ecrire votre message ici…"
"Wrong type of SMS.","Mauvais type de SMS"
"Yes","Oui"
"You already have tokens in use. You can only have one session open at a time.","Vous avez déjà un jeton en cours d'utilisation. Vous pouvez avoir qu'une unique session ouvert à la fois."
"You are not allowed to send SMS messages to this user.","Vous n'êtes pas autorisé à envoyer de SMS à cet utilisateur."
"You are not authorized to manage your lists by API.","Vous n'êtes pas autorisé à manager vos listees par API"
"You are under investigation for the fraudulent use of our services.","L'utilisation faite de nos services est en cours d'investigation par nos services"
"You can find it on your Octopush","Cette information est disponible sur Octopush"
"You cannot send low cost SMS to this country. Choose Premium SMS","Vous ne pouvez pas envoyer de SMS lowcost to this country. Choisissez le SMS Premium"
"You cannot send SMS with more than x characters for this type of SMS","Vous ne pouvez pas envoyer de SMS avec plus de x caractères pour ce type de SMS"
"You do not have access to this feature.","Vous n'avez pas accès à cette fonctionnalités."
"You don't have enough credit on your balance your last order is being validated","Votre crédit n'est pas suffisant, votre dernière commande est en cours de validation"
"You have entered the Sender incorrectly. 3 to 11 characters, chosen from 0 to 9, a to z, A to Z. No accents, spaces or punctuation.","L'expéditeur mentionné est incorrect. 3  à 11 caractères, de 0 à 9, de a à z, A à Z. Pas d'accent, d'espace ou ponctuation"
"You have not chosen a way to enter your recipients.","Vous n'avez pas choisi la façon d'entrer vos destinataires"
"You have not defined the quality of your message.","Vous n'avez pas défini la qualité de vos messages (type de SMS)"
"You have not entered the list of recipients.","Vous n'avez pas entré de liste de contacts"
"You have not entered your login details.","Vous n'avez pas entré votre login"
"You have not entered your password.","Vous n'avez pas entré votre mot de passe"
"You have reached the maximum number of lists.","Vous avez atteint le nombre maximum de liste."
"You have run out of credit.","Votre crédit est insuffisant"
"You may not run campaigns during a credit transfer.","Vous ne pouvez pas envoyer de campagne pendant un transfert de crédit"
"You must tick one of the two boxes to indicate if <u> you do not wish to send test SMS </u> or if <u>you have correctly received and validated it</u>.","Vous devez cocher l'une des 2 cases if <u> vous ne souhaitez pas envoyer de SMS de test </u> ou si <u> le SMS reçu est correct </u>."
"You specified a wrong token.","Le jeton spécifié est incorrect"
"Your account is not validated. Log in and go to the ""User interface"" section.","Votre compte n'est pas validé. Conenctez vous et dirigez vous vers l'onglet ""Espace utilisateur"""
"Your account is not validated.""Your account is not validated""","Votre compte n'est pas validé"
"Your campaign can not be deleted.","Votre campagne ne peut pas être supprimée"
"Your campaign has been deleted.","Votre campagne a été supprimée"
"Your campaign has been duplicated, you are now working on the new one.","Votre campagne a été dupliquée, vous travaillez désormais sur la nouvelle"
"Your campaign has been saved.","Votre campagne a été sauvegardée"
"Your campaign is currently being transmitted, please do not close the window.","Votre campagne est en cours de transmission, ne fermez pas la fenêtre"
"Your campaign is now canceled and can be deleted","Votre campagne est désormais annulée et peut être supprimée"
"Your campaign is now canceled on Octopushand can be deleted","Votre campagne est désormais annulée sur Octopush et peut être supprimée"
"Your campaign is now validated and will be sent at","Votre campagne est validée et sera envoyée à"
"Your message has no recipients","Votre message n'a pas de destinataire"
"Your recipient list contains no correct numbers. Have you formated your numbers by including the international dialling code? Contact us if you have any problems.","Votre liste de contact ne contient pas de numéro correct. Avez-vous formatté les numéros en incluant le préfixe international? Contactez-nous en cas de problème"
"Your recipient list does not contain a valid number.","Votre liste de contact ne contient pas de numéro valide."
"Your SMS credit is almost empty. Your remaining balance is {balance} SMS available.","Votre crédit SMS arrive à expiration. Le crédit restant est de  {balance} SMS disponible"
"Your SMS exceeds 160 characters","Votre SMS excède les 160 caractères"
"If you stop the transfer by leaving the page (campaign with several recipients), you can complete it.","Si vous stoppez le transfert en quittant la page, vous pourrez la termminer"
"When everything has been sent, you can validate the SMS by clicking ""Accept & Send"" or you can definitively cancel it.","Quand tout est envoyé, vous pouvez valider le SMS en cliquant ""Accepter & envoyer"" ou vous pouvez définitivement le supprimer."
"In SMS marketing, the ""","En SMS marketing, la mention "
" is compulsory and written within your text message (respect the case)."," est obligatoire et doit être inclus dans votre message (respecter la casse)."
"You can still cancel it unless it has been sent by Octopush.","Vous pouvez encore l'annuler à moins qu'elle est déjà été envoyée par Octopush."
